episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
608,9,8,-200.0,-200.0,121399
609,9,0,-200.0,-200.0,121599
610,9,5,-200.0,-200.0,121799
611,9,7,-200.0,-200.0,121999
612,9,0,-200.0,-200.0,122199
613,9,7,-200.0,-200.0,122399
614,9,7,-200.0,-200.0,122599
615,9,2,-200.0,-200.0,122799
616,9,4,-200.0,-200.0,122999
617,9,4,-200.0,-200.0,123199
618,9,0,-200.0,-200.0,123399
619,9,9,-200.0,-200.0,123599
620,9,5,-200.0,-200.0,123799
621,9,6,-200.0,-200.0,123999
622,9,6,-200.0,-200.0,124199
623,9,5,-200.0,-200.0,124399
624,9,3,-200.0,-200.0,124599
625,9,3,-200.0,-200.0,124799
626,9,4,-200.0,-200.0,124999
627,9,9,-200.0,-200.0,125199
628,9,4,-200.0,-200.0,125399
629,9,8,-200.0,-200.0,125599
630,9,0,-200.0,-200.0,125799
631,9,6,-200.0,-200.0,125999
632,9,8,-200.0,-200.0,126199
633,9,0,-200.0,-200.0,126399
634,9,3,-200.0,-200.0,126599
635,9,8,-200.0,-200.0,126799
636,9,2,-200.0,-200.0,126999
637,9,3,-200.0,-200.0,127199
638,9,6,-200.0,-200.0,127399
639,9,4,-200.0,-200.0,127599
640,9,1,-200.0,-200.0,127799
641,9,0,-200.0,-200.0,127999
642,9,5,-200.0,-200.0,128199
643,9,5,-200.0,-200.0,128399
644,9,8,-200.0,-200.0,128599
645,9,5,-200.0,-200.0,128799
646,9,7,-200.0,-200.0,128999
647,9,4,-200.0,-200.0,129199
648,9,4,-200.0,-200.0,129399
649,9,4,-200.0,-200.0,129599
650,9,4,-200.0,-200.0,129799
651,9,6,-200.0,-200.0,129999
652,9,9,-200.0,-200.0,130199
653,9,3,-200.0,-200.0,130399
654,9,1,-200.0,-200.0,130599
655,9,6,-200.0,-200.0,130799
656,9,3,-200.0,-200.0,130999
657,9,9,-200.0,-200.0,131199
658,9,0,-200.0,-200.0,131399
659,9,3,-200.0,-200.0,131599
660,9,5,-200.0,-200.0,131799
661,9,2,-200.0,-200.0,131999
662,9,2,-200.0,-200.0,132199
663,9,7,-200.0,-200.0,132399
664,9,6,-200.0,-200.0,132599
665,9,8,-200.0,-200.0,132799
666,9,5,-200.0,-200.0,132999
667,9,8,-200.0,-200.0,133199
668,9,6,-200.0,-200.0,133399
669,9,9,-200.0,-200.0,133599
670,9,6,-200.0,-200.0,133799
671,9,2,-200.0,-200.0,133999
672,9,6,-200.0,-200.0,134199
673,9,1,-200.0,-200.0,134399
674,9,7,-200.0,-200.0,134599
675,9,3,-200.0,-200.0,134799
676,9,5,-200.0,-200.0,134999
677,9,3,-200.0,-200.0,135199
678,9,1,-200.0,-200.0,135399
679,9,6,-200.0,-200.0,135599
680,9,2,-200.0,-200.0,135799
681,9,0,-200.0,-200.0,135999
682,9,0,-200.0,-200.0,136199
683,9,4,-200.0,-200.0,136399
684,9,2,-200.0,-200.0,136599
685,9,3,-200.0,-200.0,136799
686,9,0,-200.0,-200.0,136999
687,9,8,-200.0,-200.0,137199
688,9,0,-200.0,-200.0,137399
689,9,8,-200.0,-200.0,137599
690,9,7,-200.0,-200.0,137799
691,9,4,-200.0,-200.0,137999
692,9,2,-200.0,-200.0,138199
693,9,1,-200.0,-200.0,138399
694,9,1,-200.0,-200.0,138599
695,9,3,-200.0,-200.0,138799
696,9,9,-200.0,-200.0,138999
697,9,9,-200.0,-200.0,139199
698,9,8,-200.0,-200.0,139399
699,9,5,-200.0,-200.0,139599
700,9,9,-200.0,-200.0,139799
701,9,8,-200.0,-200.0,139999
702,9,2,-200.0,-200.0,140199
703,9,0,-200.0,-200.0,140399
704,9,5,-200.0,-200.0,140599
705,9,6,-200.0,-200.0,140799
706,9,9,-200.0,-200.0,140999
707,9,3,-200.0,-200.0,141199
708,9,0,-200.0,-200.0,141399
709,9,9,-200.0,-200.0,141599
710,9,7,-200.0,-200.0,141799
711,9,5,-200.0,-200.0,141999
712,9,9,-200.0,-200.0,142199
713,9,8,-200.0,-200.0,142399
714,9,8,-200.0,-200.0,142599
715,9,4,-200.0,-200.0,142799
716,9,8,-200.0,-200.0,142999
717,9,9,-200.0,-200.0,143199
718,9,3,-200.0,-200.0,143399
719,9,5,-200.0,-200.0,143599
720,9,9,-200.0,-200.0,143799
721,9,7,-200.0,-200.0,143999
722,9,1,-200.0,-200.0,144199
723,9,1,-200.0,-200.0,144399
724,9,9,-200.0,-200.0,144599
725,9,2,-200.0,-200.0,144799
726,9,2,-200.0,-200.0,144999
727,9,4,-200.0,-200.0,145199
728,9,5,-200.0,-200.0,145399
729,9,2,-200.0,-200.0,145599
730,9,3,-200.0,-200.0,145799
