% time spent exploring,episodes,head,steps,mean 100 episode reward,reward
9,339,7,19941,0.0,0.058000000000000045
9,340,8,20000,0.0,0.05500000000000004
9,341,1,20059,0.0,0.058000000000000045
9,342,6,20118,0.0,0.026000000000000016
9,343,6,20177,0.0,0.028000000000000018
9,344,4,20236,0.0,0.011000000000000003
9,345,8,20295,0.0,0.028000000000000018
9,346,9,20354,0.0,0.03300000000000002
9,347,6,20413,0.0,0.03400000000000002
9,348,4,20472,0.0,0.011000000000000003
9,349,2,20531,0.0,0.035000000000000024
9,350,8,20590,0.0,0.048000000000000036
9,351,5,20649,0.0,0.0
9,352,2,20708,0.0,0.04200000000000003
9,353,0,20767,0.0,0.05300000000000004
9,354,3,20826,0.0,0.058000000000000045
9,355,3,20885,0.0,0.05500000000000004
9,356,4,20944,0.0,0.04200000000000003
9,357,0,21003,0.0,0.047000000000000035
9,358,2,21062,0.0,0.014000000000000005
9,359,0,21121,0.0,0.03000000000000002
9,360,5,21180,0.0,0.011000000000000003
9,361,8,21239,0.0,0.03800000000000003
9,362,5,21298,0.0,0.0
9,363,9,21357,0.0,0.05400000000000004
9,364,8,21416,0.0,0.035000000000000024
9,365,9,21475,0.0,0.03900000000000003
9,366,8,21534,0.0,0.026000000000000016
9,367,5,21593,0.0,0.006
9,368,7,21652,0.0,0.057000000000000044
9,369,9,21711,0.0,0.001
9,370,7,21770,0.0,0.025000000000000015
9,371,2,21829,0.0,0.008
9,372,3,21888,0.0,0.05600000000000004
9,373,4,21947,0.0,0.002
9,374,6,22006,0.0,0.023000000000000013
9,375,4,22065,0.0,0.005
9,376,5,22124,0.0,0.009000000000000001
9,377,4,22183,0.0,0.04000000000000003
9,378,1,22242,0.0,0.02900000000000002
9,379,1,22301,0.0,0.04100000000000003
9,380,6,22360,0.0,0.008
9,381,6,22419,0.0,0.03400000000000002
9,382,8,22478,0.0,0.037000000000000026
9,383,8,22537,0.0,0.005
9,384,3,22596,0.0,0.057000000000000044
9,385,0,22655,0.0,0.03300000000000002
9,386,6,22714,0.0,0.02000000000000001
9,387,9,22773,0.0,0.035000000000000024
9,388,9,22832,0.0,0.04100000000000003
9,389,8,22891,0.0,0.05200000000000004
9,390,2,22950,0.0,0.057000000000000044
9,391,4,23009,0.0,0.036000000000000025
9,392,8,23068,0.0,0.028000000000000018
9,393,6,23127,0.0,0.025000000000000015
9,394,4,23186,0.0,0.027000000000000017
9,395,7,23245,0.0,0.017000000000000008
9,396,0,23304,0.0,0.035000000000000024
9,397,3,23363,0.0,0.046000000000000034
9,398,8,23422,0.0,0.026000000000000016
9,399,9,23481,0.0,0.02000000000000001
9,400,0,23540,0.0,0.027000000000000017
9,401,3,23599,0.0,0.05200000000000004
9,402,5,23658,0.0,0.04100000000000003
9,403,3,23717,0.0,0.04900000000000004
9,404,0,23776,0.0,0.03000000000000002
9,405,7,23835,0.0,0.03100000000000002
9,406,5,23894,0.0,0.005
9,407,4,23953,0.0,0.04300000000000003
9,408,7,24012,0.0,0.04200000000000003
9,409,7,24071,0.0,0.04500000000000003
9,410,2,24130,0.0,0.027000000000000017
9,411,9,24189,0.0,0.03100000000000002
9,412,4,24248,0.0,0.05400000000000004
9,413,7,24307,0.0,0.028000000000000018
9,414,7,24366,0.0,0.036000000000000025
9,415,1,24425,0.0,0.015000000000000006
9,416,2,24484,0.0,0.05500000000000004
9,417,8,24543,0.0,0.04400000000000003
9,418,1,24602,0.0,0.03000000000000002
9,419,1,24661,0.0,0.016000000000000007
9,420,7,24720,0.0,0.022000000000000013
9,421,1,24779,0.0,0.02000000000000001
9,422,4,24838,0.0,0.03400000000000002
9,423,4,24897,0.0,0.001
9,424,4,24956,0.0,0.03200000000000002
9,425,2,25015,0.0,0.012000000000000004
9,426,2,25074,0.0,0.028000000000000018
9,427,3,25133,0.0,0.025000000000000015
9,428,2,25192,0.0,0.03900000000000003
9,429,2,25251,0.0,0.004
9,430,8,25310,0.0,0.03900000000000003
9,431,2,25369,0.0,0.04100000000000003
9,432,2,25428,0.0,0.02000000000000001
9,433,3,25487,0.0,0.012000000000000004
9,434,6,25546,0.0,0.03400000000000002
9,435,9,25605,0.0,0.027000000000000017
9,436,5,25664,0.0,0.010000000000000002
9,437,2,25723,0.0,0.03000000000000002
9,438,4,25782,0.0,0.027000000000000017
9,439,7,25841,0.0,0.025000000000000015
9,440,1,25900,0.0,0.026000000000000016
9,441,2,25959,0.0,0.047000000000000035
9,442,6,26018,0.0,0.013000000000000005
9,443,6,26077,0.0,0.02900000000000002
9,444,5,26136,0.0,0.02100000000000001
9,445,5,26195,0.0,0.04200000000000003
9,446,8,26254,0.0,0.007
9,447,8,26313,0.0,0.03200000000000002
9,448,5,26372,0.0,0.017000000000000008
9,449,0,26431,0.0,0.048000000000000036
9,450,5,26490,0.0,0.028000000000000018
9,451,6,26549,0.0,0.05100000000000004
9,452,3,26608,0.0,0.013000000000000005
9,453,4,26667,0.0,0.04200000000000003
9,454,8,26726,0.0,0.03800000000000003
9,455,5,26785,0.0,0.015000000000000006
9,456,6,26844,0.0,0.02100000000000001
9,457,3,26903,0.0,0.03800000000000003
9,458,0,26962,0.0,0.02900000000000002
9,459,2,27021,0.0,0.05300000000000004
9,460,7,27080,0.0,0.03400000000000002
9,461,3,27139,0.0,0.03900000000000003
9,462,8,27198,0.0,0.023000000000000013
9,463,7,27257,0.0,0.017000000000000008
9,464,2,27316,0.0,0.04400000000000003
9,465,2,27375,0.0,0.027000000000000017
9,466,0,27434,0.0,0.007
9,467,8,27493,0.0,0.03200000000000002
9,468,7,27552,0.0,0.025000000000000015
9,469,6,27611,0.0,0.013000000000000005
9,470,8,27670,0.0,0.03900000000000003
9,471,4,27729,0.0,0.05500000000000004
9,472,4,27788,0.0,0.017000000000000008
9,473,9,27847,0.0,0.01900000000000001
9,474,1,27906,0.0,0.002
9,475,2,27965,0.0,0.048000000000000036
9,476,2,28024,0.0,0.036000000000000025
9,477,2,28083,0.0,0.05300000000000004
9,478,4,28142,0.0,0.009000000000000001
9,479,5,28201,0.0,0.04200000000000003
9,480,1,28260,0.0,0.005
9,481,9,28319,0.0,0.03300000000000002
9,482,2,28378,0.0,0.025000000000000015
9,483,3,28437,0.0,0.04400000000000003
9,484,6,28496,0.0,0.026000000000000016
9,485,1,28555,0.0,0.04200000000000003
9,486,5,28614,0.0,0.006
9,487,7,28673,0.0,0.05000000000000004
9,488,5,28732,0.0,0.012000000000000004
9,489,1,28791,0.0,0.048000000000000036
9,490,9,28850,0.0,0.022000000000000013
9,491,1,28909,0.0,0.03300000000000002
9,492,2,28968,0.0,0.023000000000000013
9,493,9,29027,0.0,0.010000000000000002
9,494,1,29086,0.0,0.025000000000000015
9,495,9,29145,0.0,0.03900000000000003
9,496,6,29204,0.0,0.03000000000000002
9,497,3,29263,0.0,0.04100000000000003
9,498,7,29322,0.0,0.03100000000000002
9,499,9,29381,0.0,0.02100000000000001
9,500,9,29440,0.0,0.03800000000000003
9,501,5,29499,0.0,0.036000000000000025
9,502,0,29558,0.0,0.03000000000000002
9,503,3,29617,0.0,0.05500000000000004
9,504,2,29676,0.0,0.03300000000000002
9,505,0,29735,0.0,0.025000000000000015
9,506,0,29794,0.0,0.016000000000000007
9,507,1,29853,0.0,0.04400000000000003
9,508,1,29912,0.0,0.011000000000000003
9,509,1,29971,0.0,0.004
9,510,9,30030,0.0,0.02000000000000001
9,511,2,30089,0.0,0.03200000000000002
9,512,4,30148,0.0,0.037000000000000026
9,513,4,30207,0.0,0.0
9,514,2,30266,0.0,0.015000000000000006
9,515,6,30325,0.0,0.03400000000000002
9,516,2,30384,0.0,0.03100000000000002
9,517,6,30443,0.0,0.0
9,518,9,30502,0.0,0.05200000000000004
9,519,3,30561,0.0,0.03200000000000002
9,520,4,30620,0.0,0.023000000000000013
9,521,4,30679,0.0,0.035000000000000024
9,522,6,30738,0.0,0.016000000000000007
9,523,3,30797,0.0,0.04500000000000003
9,524,9,30856,0.0,0.04300000000000003
9,525,7,30915,0.0,0.046000000000000034
9,526,3,30974,0.0,0.037000000000000026
9,527,7,31033,0.0,0.04200000000000003
9,528,4,31092,0.0,0.058000000000000045
9,529,8,31151,0.0,0.03900000000000003
9,530,1,31210,0.0,0.03800000000000003
9,531,0,31269,0.0,0.014000000000000005
9,532,6,31328,0.0,0.027000000000000017
9,533,0,31387,0.0,0.04300000000000003
9,534,4,31446,0.0,0.058000000000000045
