episodes,reward,mean 100 episode reward,% time spent exploring,steps
275,0.060000000000000046,0.0,9,29865
276,0.0,0.0,9,29974
277,0.04000000000000003,0.0,9,30083
278,0.05100000000000004,0.0,9,30192
279,0.003,0.0,9,30301
280,0.007,0.0,9,30410
281,0.027000000000000017,0.0,9,30519
282,0.05500000000000004,0.0,9,30628
283,0.01800000000000001,0.0,9,30737
284,0.03100000000000002,0.0,9,30846
285,0.011000000000000003,0.0,9,30955
286,0.037000000000000026,0.0,9,31064
287,0.060000000000000046,0.0,9,31173
288,0.023000000000000013,0.0,9,31282
289,0.024000000000000014,0.0,9,31391
290,0.037000000000000026,0.0,9,31500
291,0.03300000000000002,0.0,9,31609
292,0.022000000000000013,0.0,9,31718
293,0.07000000000000005,0.0,9,31827
294,0.04200000000000003,0.0,9,31936
295,0.03400000000000002,0.0,9,32045
296,0.028000000000000018,0.0,9,32154
297,0.026000000000000016,0.0,9,32263
298,0.01900000000000001,0.0,9,32372
299,0.04900000000000004,0.0,9,32481
300,0.036000000000000025,0.0,9,32590
301,0.07200000000000005,0.0,9,32699
302,0.05300000000000004,0.0,9,32808
303,0.09300000000000007,0.0,9,32917
304,0.028000000000000018,0.0,9,33026
305,0.06900000000000005,0.0,9,33135
306,0.04100000000000003,0.0,9,33244
307,0.09500000000000007,0.0,9,33353
308,0.059000000000000045,0.0,9,33462
309,0.07200000000000005,0.0,9,33571
310,0.06700000000000005,0.0,9,33680
311,0.08800000000000006,0.0,9,33789
312,0.08600000000000006,0.0,9,33898
313,0.05100000000000004,0.0,9,34007
314,0.06400000000000004,0.0,9,34116
315,0.09200000000000007,0.0,9,34225
316,0.10000000000000007,0.0,9,34334
317,0.07900000000000006,0.0,9,34443
318,0.08100000000000006,0.0,9,34552
319,0.07000000000000005,0.0,9,34661
320,0.10100000000000008,0.1,9,34770
321,0.10100000000000008,0.1,9,34879
322,0.06600000000000004,0.1,9,34988
323,0.05000000000000004,0.1,9,35097
324,0.047000000000000035,0.1,9,35206
325,0.047000000000000035,0.1,9,35315
326,0.04900000000000004,0.1,9,35424
327,0.08600000000000006,0.1,9,35533
328,0.05300000000000004,0.1,9,35642
329,0.07600000000000005,0.1,9,35751
330,0.10000000000000007,0.1,9,35860
331,0.057000000000000044,0.1,9,35969
332,0.03300000000000002,0.1,9,36078
333,0.05300000000000004,0.1,9,36187
334,0.036000000000000025,0.1,9,36296
335,0.03300000000000002,0.1,9,36405
336,0.03900000000000003,0.1,9,36514
337,0.04200000000000003,0.1,9,36623
338,0.037000000000000026,0.1,9,36732
339,0.03300000000000002,0.1,9,36841
340,0.027000000000000017,0.1,9,36950
341,0.04000000000000003,0.1,9,37059
342,0.05300000000000004,0.1,9,37168
343,0.05400000000000004,0.1,9,37277
344,0.07200000000000005,0.1,9,37386
345,0.05600000000000004,0.1,9,37495
346,0.08700000000000006,0.1,9,37604
347,0.07000000000000005,0.1,9,37713
348,0.07800000000000006,0.1,9,37822
349,0.08300000000000006,0.1,9,37931
350,0.05400000000000004,0.1,9,38040
351,0.08300000000000006,0.1,9,38149
352,0.07100000000000005,0.1,9,38258
353,0.08100000000000006,0.1,9,38367
354,0.06800000000000005,0.1,9,38476
355,0.09800000000000007,0.1,9,38585
356,0.06300000000000004,0.1,9,38694
357,0.03800000000000003,0.1,9,38803
358,0.04300000000000003,0.1,9,38912
359,0.026000000000000016,0.1,9,39021
360,0.07100000000000005,0.1,9,39130
361,0.08300000000000006,0.1,9,39239
362,0.059000000000000045,0.1,9,39348
363,0.06900000000000005,0.1,9,39457
364,0.048000000000000036,0.1,9,39566
365,0.07900000000000006,0.1,9,39675
366,0.02900000000000002,0.1,9,39784
367,0.024000000000000014,0.1,9,39893
368,0.10600000000000008,0.1,9,40002
369,0.10400000000000008,0.1,9,40111
370,0.06800000000000005,0.1,9,40220
371,0.048000000000000036,0.1,9,40329
372,0.06300000000000004,0.1,9,40438
373,0.06700000000000005,0.1,9,40547
374,0.07200000000000005,0.1,9,40656
375,0.016000000000000007,0.1,9,40765
376,0.08100000000000006,0.1,9,40874
377,0.08500000000000006,0.1,9,40983
378,0.04500000000000003,0.1,9,41092
379,0.07200000000000005,0.1,9,41201
380,0.08500000000000006,0.1,9,41310
381,0.05300000000000004,0.1,9,41419
382,0.05600000000000004,0.1,9,41528
383,0.04900000000000004,0.1,9,41637
384,0.08700000000000006,0.1,9,41746
385,0.07600000000000005,0.1,9,41855
386,0.058000000000000045,0.1,9,41964
387,0.03400000000000002,0.1,9,42073
388,0.04900000000000004,0.1,9,42182
389,0.057000000000000044,0.1,9,42291
390,0.10400000000000008,0.1,9,42400
391,0.08800000000000006,0.1,9,42509
392,0.09400000000000007,0.1,9,42618
393,0.10100000000000008,0.1,9,42727
394,0.10400000000000008,0.1,9,42836
395,0.08000000000000006,0.1,9,42945
396,0.10000000000000007,0.1,9,43054
397,0.07900000000000006,0.1,9,43163
398,0.08300000000000006,0.1,9,43272
399,0.06700000000000005,0.1,9,43381
400,0.10000000000000007,0.1,9,43490
401,0.06400000000000004,0.1,9,43599
402,0.06400000000000004,0.1,9,43708
403,0.08200000000000006,0.1,9,43817
404,0.09400000000000007,0.1,9,43926
405,0.08000000000000006,0.1,9,44035
406,0.04900000000000004,0.1,9,44144
407,0.07100000000000005,0.1,9,44253
408,0.028000000000000018,0.1,9,44362
409,0.07300000000000005,0.1,9,44471
410,0.04100000000000003,0.1,9,44580
411,0.06900000000000005,0.1,9,44689
412,0.09600000000000007,0.1,9,44798
413,0.07700000000000005,0.1,9,44907
414,0.058000000000000045,0.1,9,45016
415,0.04400000000000003,0.1,9,45125
416,0.04400000000000003,0.1,9,45234
417,0.06100000000000005,0.1,9,45343
418,0.07600000000000005,0.1,9,45452
419,0.07200000000000005,0.1,9,45561
420,0.07500000000000005,0.1,9,45670
421,0.08900000000000007,0.1,9,45779
422,0.04500000000000003,0.1,9,45888
423,0.08900000000000007,0.1,9,45997
424,0.058000000000000045,0.1,9,46106
425,0.07500000000000005,0.1,9,46215
426,0.10500000000000008,0.1,9,46324
427,0.06800000000000005,0.1,9,46433
428,0.10600000000000008,0.1,9,46542
429,0.08600000000000006,0.1,9,46651
430,0.10300000000000008,0.1,9,46760
431,0.09700000000000007,0.1,9,46869
432,0.09500000000000007,0.1,9,46978
433,0.08800000000000006,0.1,9,47087
434,0.07100000000000005,0.1,9,47196
435,0.07500000000000005,0.1,9,47305
436,0.06600000000000004,0.1,9,47414
437,0.09000000000000007,0.1,9,47523
438,0.10700000000000008,0.1,9,47632
439,0.06400000000000004,0.1,9,47741
440,0.07800000000000006,0.1,9,47850
441,0.05300000000000004,0.1,9,47959
442,0.07300000000000005,0.1,9,48068
443,0.06600000000000004,0.1,9,48177
444,0.10000000000000007,0.1,9,48286
445,0.09900000000000007,0.1,9,48395
446,0.07100000000000005,0.1,9,48504
447,0.06600000000000004,0.1,9,48613
448,0.06500000000000004,0.1,9,48722
449,0.09400000000000007,0.1,9,48831
450,0.07100000000000005,0.1,9,48940
451,0.06100000000000005,0.1,9,49049
452,0.07100000000000005,0.1,9,49158
453,0.06900000000000005,0.1,9,49267
454,0.06700000000000005,0.1,9,49376
455,0.048000000000000036,0.1,9,49485
456,0.03800000000000003,0.1,9,49594
457,0.028000000000000018,0.1,9,49703
458,0.07900000000000006,0.1,9,49812
459,0.06100000000000005,0.1,9,49921
460,0.058000000000000045,0.1,9,50030
461,0.08400000000000006,0.1,9,50139
462,0.05300000000000004,0.1,9,50248
463,0.07700000000000005,0.1,9,50357
464,0.07700000000000005,0.1,9,50466
465,0.09200000000000007,0.1,9,50575
466,0.09100000000000007,0.1,9,50684
467,0.07900000000000006,0.1,9,50793
468,0.060000000000000046,0.1,9,50902
469,0.06100000000000005,0.1,9,51011
470,0.05500000000000004,0.1,9,51120
471,0.036000000000000025,0.1,9,51229
472,0.05000000000000004,0.1,9,51338
473,0.08100000000000006,0.1,9,51447
474,0.060000000000000046,0.1,9,51556
475,0.05400000000000004,0.1,9,51665
476,0.04300000000000003,0.1,9,51774
477,0.010000000000000002,0.1,9,51883
478,0.04300000000000003,0.1,9,51992
479,0.027000000000000017,0.1,9,52101
480,0.015000000000000006,0.1,9,52210
481,0.05000000000000004,0.1,9,52319
482,0.04300000000000003,0.1,9,52428
483,0.04200000000000003,0.1,9,52537
484,0.057000000000000044,0.1,9,52646
485,0.05100000000000004,0.1,9,52755
486,0.03900000000000003,0.1,9,52864
487,0.02900000000000002,0.1,9,52973
488,0.03400000000000002,0.1,9,53082
489,0.06300000000000004,0.1,9,53191
490,0.05000000000000004,0.1,9,53300
491,0.03000000000000002,0.1,9,53409
492,0.07400000000000005,0.1,9,53518
493,0.03800000000000003,0.1,9,53627
494,0.04400000000000003,0.1,9,53736
495,0.027000000000000017,0.1,9,53845
496,0.05000000000000004,0.1,9,53954
497,0.06100000000000005,0.1,9,54063
498,0.036000000000000025,0.1,9,54172
499,0.03900000000000003,0.1,9,54281
500,0.022000000000000013,0.1,9,54390
501,0.03100000000000002,0.1,9,54499
502,0.036000000000000025,0.1,9,54608
503,0.013000000000000005,0.1,9,54717
504,0.059000000000000045,0.1,9,54826
505,0.10400000000000008,0.1,9,54935
506,0.08900000000000007,0.1,9,55044
507,0.05300000000000004,0.1,9,55153
508,0.037000000000000026,0.1,9,55262
509,0.07200000000000005,0.1,9,55371
510,0.05000000000000004,0.1,9,55480
511,0.06900000000000005,0.1,9,55589
512,0.022000000000000013,0.1,9,55698
513,0.06600000000000004,0.1,9,55807
514,0.06200000000000005,0.1,9,55916
515,0.05000000000000004,0.1,9,56025
516,0.015000000000000006,0.1,9,56134
517,0.07900000000000006,0.1,9,56243
518,0.06700000000000005,0.1,9,56352
